gid,tipo_insta,estado,tipo_estac,calle_1,num_calle1,calle_2,num_calle2,calle_3,num_calle3,num_instal,num_zona,num_centra,fecha,orden_trab,observacio,armario_es,armario_de,columna800,detector,central_de,proteccion,arrancador,icp_amperi,dif_amperi,rotacion,OID_,N?®MERO,D?ûA,TARDE,NOCHE,IMD
484,EA,Instalado,Anual,PASEO DE CALANDA,,CALLE SAN ANTONIO ABAD,,AVENIDA MADRID,,290,0,0,,,,0,0,0,0,0,0,0,,,0,279,290,"0,06120","0,05110","0,00770","10002,00000"
485,EA,Instalado,Anual,CALLE GRAUS,,CALLE UNCETA,,PASEO DE CALANDA,,289,0,0,,,,0,0,0,0,0,0,0,,,0,278,289,"0,05900","0,05480","0,00900","2414,00000"
486,EA,Instalado,Anual,CALLE LEON TORRES QUEVEDO,,CALLE SAN ANTONIO ABAD,,CALLE MARCOS ZAPATA,,413,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,399,413,"0,06080","0,05430","0,00670","2196,00000"
487,EA,Instalado,Anual,CALLE ARIAS,,CALLE LASTANOSA,,CALLE SAN ANTONIO ABAD,,412,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,398,412,"0,06040","0,05550","0,00660","2196,00000"
488,EA,Instalado,Anual,AVENIDA MADRID,,CALLE ARIAS,,CALLE MARIANO CARDERERA,,174,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,165,174,"0,05540","0,05550","0,01410","11292,00000"
489,EA,Instalado,Anual,CALLE RIOJA,,CALLE LASTANOSA,,CALLE CELSO EMILIO FERREIRO,,175,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,166,175,"0,05960","0,05000","0,01060","20723,00000"
490,EA,Instalado,Anual,CALLE RIOJA,,CALLE CELSO EMILIO FERREIRO,,CALLE LASTANOSA,,176,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,167,176,"0,06130","0,05270","0,00670","12544,00000"
491,EA,Instalado,Anual,CALLE CELSO EMILIO FERREIRO,,CALLE NICANOR VILLALTA,,CALLE CELANOVA,,298,0,0,19/10/2015,,,0,0,0,0,0,0,0,,,0,287,298,"0,05850","0,05960","0,00750","2718,00000"
492,EA,Instalado,Anual,CALLE ALFONSO CARLOS COMIN ROS,,CALLE CELSO EMILIO FERREIRO,,MURERO,,299,0,0,19/10/2015,,,0,0,0,0,0,0,0,,,0,288,299,"0,06040","0,05200","0,00840","2736,00000"
493,EA,Instalado,Anual,AVENIDA NAVARRA,,CALLE BIARRITZ,,CALLE RIOJA,,177,0,0,,,,0,0,0,0,0,0,0,,,0,168,177,"0,06260","0,04970","0,00630","18855,00000"
494,EA,Instalado,Anual,AVENIDA NAVARRA,,CALLE RIOJA,,CALLE BIARRITZ,,178,0,0,,,,0,0,0,0,0,0,0,,,0,169,178,"0,06210","0,04730","0,00810","12478,00000"
495,EA,Instalado,Anual,CALLE RIOJA,,AVENIDA CIUDAD DE SORIA,,AVENIDA NAVARRA,,552,0,0,26/10/2015,,,0,0,0,0,0,0,0,,,0,523,552,"0,06120","0,04930","0,00850","12080,00000"
496,EA,Instalado,Anual,CALLE RIOJA,,AVENIDA NAVARRA,,AVENIDA CIUDAD DE SORIA,,551,0,0,26/10/2015,,,0,0,0,0,0,0,0,,,0,522,551,"0,06130","0,04750","0,00930","15970,00000"
497,EA,Instalado,Anual,CALLE DR. JULIAN SANZ IBA?âÔÇÿEZ,,CALLE PEDRO ALFONSO,,CALLE RIOJA,,296,0,0,01/04/2016,,,0,0,0,0,0,0,0,,,0,285,296,"0,05870","0,05210","0,01090","4557,00000"
498,EA,Instalado,Anual,AVENIDA MADRID,,CALLE RIOJA,,CALLE PEDRO ALFONSO,,170,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,161,170,"0,05610","0,05470","0,01350","13462,00000"
499,EA,Instalado,Anual,VIA UNIVERSITAS,,AVENIDA MADRID,,CALLE SAN RAFAEL,,172,0,0,,,,0,0,0,0,0,0,0,,,0,163,172,"0,06150","0,05190","0,00680","12801,00000"
500,EA,Instalado,Anual,VIA UNIVERSITAS,,CALLE SAN RAFAEL,,AVENIDA MADRID,,173,0,0,,,,0,0,0,0,0,0,0,,,0,164,173,"0,06030","0,04810","0,01050","14536,00000"
501,EA,Instalado,Anual,CALLE JOSE PEDRO PEREZ LLORCA,,AVENIDA NAVARRA,,CALLE MIGUEL ROCA I JUNYENT,,553,0,0,26/10/2015,,,0,0,0,0,0,0,0,,,0,524,553,"0,06050","0,04770","0,01050","1944,00000"
502,EA,Instalado,Anual,CALLE MIGUEL HERRERO Y RODRIGUEZ DE MI?âÔÇÿON,,CALLE MIGUEL ROCA I JUNYENT,,AVENIDA NAVARRA,,616,0,0,28/10/2015,,,0,0,0,0,0,0,0,,,0,583,616,"0,06160","0,05440","0,00550","7924,00000"
503,EA,Instalado,Anual,CALLE MIGUEL HERRERO Y RODRIGUEZ DE MI?âÔÇÿON,,AVENIDA NAVARRA,,CALLE MIGUEL ROCA I JUNYENT,,615,0,0,28/10/2015,,,0,0,0,0,0,0,0,,,0,582,615,"0,05890","0,06180","0,00570","1688,00000"
504,EA,Instalado,Anual,AVENIDA CIUDAD DE SORIA,,AUTOVIA LOGRO?âÔÇÿO,,CALLE MIGUEL HERRERO Y RODRIGUEZ DE MI?âÔÇÿON,,556,0,0,27/10/2015,,"Ubicada en AP68 entre Extrarradio y Rodriguez de Mi?â??on 
(direcci?â??n entrada a ciudad)",0,0,0,0,0,0,0,,,0,527,556,"0,06400","0,04660","0,00560","15788,00000"
505,EA,Instalado,Anual,AVENIDA CIUDAD DE SORIA,,"EXPO 2008, AV. DE LA",,AUTOVIA LOGRO?âÔÇÿO,,554,0,0,27/10/2015,,"Ubicada en AP68 entre la Avd. Expo 2008 y la AP68
 (direcci?â??n salida ciudad)",0,0,0,0,0,0,0,,,0,525,554,"0,06030","0,04500","0,01210","16349,00000"
506,EA,Instalado,Anual,AVENIDA CIUDAD DE SORIA,,"EXPO 2008, AV. DE LA",,CALLE MIGUEL HERRERO Y RODRIGUEZ DE MI?âÔÇÿON,,555,0,0,27/10/2015,,"Ubicada en AP68 entre Avd. Expo 2008 y Rodriguez de Mi?â??on
 (giro a la izquierda hacia Rodriguez de Mi?â??on)",0,0,0,0,0,0,0,,,0,526,555,"0,06030","0,05830","0,00540","6037,00000"
507,EA,Instalado,Anual,CALLE DON PEDRO DE LUNA,,CALLE DUQUESA VILLAHERMOSA,,CALLE DOMINGO RAM,,148,0,0,15/10/2015,,,0,0,0,0,0,0,0,,,0,139,148,"0,06240","0,04720","0,00780","1421,00000"
508,EA,Instalado,Anual,PASEO DE CALANDA,,CALLE BATALLA DE CLAVIJO,,CALLE DUQUESA VILLAHERMOSA,,291,0,0,19/10/2015,,,0,0,0,0,0,0,0,,,0,280,291,"0,05990","0,04940","0,01040","10086,00000"
509,EA,Instalado,Anual,CALLE DUQUESA VILLAHERMOSA,,CALLE JOSE GARCIA SANCHEZ,,CALLE FRANCO Y LOPEZ,,404,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,390,404,"0,06140","0,05220","0,00680","7252,00000"
510,EA,Instalado,Anual,CALLE DUQUESA VILLAHERMOSA,,CALLE FRANCO Y LOPEZ,,CALLE JOSE GARCIA SANCHEZ,,403,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,389,403,"0,06320","0,04860","0,00580","9145,00000"
511,EA,Instalado,Anual,CALLE UNCETA,,CALLE DUQUESA VILLAHERMOSA,,CALLE BATALLA DE CLAVIJO,,147,0,0,15/10/2015,,,0,0,0,0,0,0,0,,,0,138,147,"0,05970","0,05120","0,00980","12036,00000"
512,EA,Instalado,Anual,CALLE DUQUESA VILLAHERMOSA,,PLAZA ROMA,,CALLE JOSE GARCIA SANCHEZ,,146,0,0,15/10/2015,,,0,0,0,0,0,0,0,,,0,137,146,"0,06140","0,05050","0,00770","9096,00000"
513,EA,Instalado,Anual,CALLE DUQUESA VILLAHERMOSA,,CALLE JOSE GARCIA SANCHEZ,,PLAZA ROMA,,145,0,0,15/10/2015,,,0,0,0,0,0,0,0,,,0,136,145,"0,06290","0,04840","0,00640","11327,00000"
514,EA,Instalado,Anual,CALLE DESIDERIO ESCOSURA,,PLAZA ROMA,,CALLE TARRAGONA,,285,0,0,19/10/2015,,,0,0,0,0,0,0,0,,,0,274,285,"0,06380","0,04660","0,00600","3967,00000"
515,EA,Instalado,Anual,CALLE SANTANDER,,PLAZA ROMA,,CALLE AVILA,,142,0,0,15/10/2015,,,0,0,0,0,0,0,0,,,0,133,142,"0,06230","0,04890","0,00710","7309,00000"
516,EA,Instalado,Anual,CALLE SANTANDER,,CALLE AVILA,,PLAZA ROMA,,143,0,0,15/10/2015,,,0,0,0,0,0,0,0,,,0,134,143,"0,06270","0,04770","0,00710","8846,00000"
517,EA,Instalado,Anual,CALLE VICENTE BERDUSAN,,CALLE ROMAN IZUZQUIZA,,PLAZA ROMA,,288,0,0,19/10/2015,,,0,0,0,0,0,0,0,,,0,277,288,"0,06350","0,04740","0,00600","3724,00000"
518,EA,Instalado,Anual,CALLE VICENTE BERDUSAN,,PLAZA ROMA,,CALLE ROMAN IZUZQUIZA,,287,0,0,19/10/2015,,,0,0,0,0,0,0,0,,,0,276,287,"0,06180","0,05390","0,00540","5552,00000"
519,EA,Instalado,Anual,CALLE ITALIA,,CALLE HERMANOS PINZON,,PLAZA ROMA,,286,0,0,19/10/2015,,,0,0,0,0,0,0,0,,,0,275,286,"0,06110","0,05360","0,00660","2505,00000"
520,EA,Instalado,Anual,CALLE JOSE GARCIA SANCHEZ,,CALLE OBISPO TAJON,,CALLE VIDAL DE CANELLAS,,144,0,0,15/10/2015,,,0,0,0,0,0,0,0,,,0,135,144,"0,06020","0,04950","0,00990","11086,00000"
521,EA,Instalado,Anual,CALLE MANUEL ESCORIAZA Y FABRO,,CALLE BURGOS,,AVENIDA VALENCIA,,44,0,0,13/10/2015,,,0,0,0,0,0,0,0,,,0,42,44,"0,06270","0,04890","0,00650","10310,00000"
522,EA,Instalado,Anual,AVENIDA JOSE ANSELMO CLAVE,,PASEO TERUEL,,CALLE SANTANDER,,45,0,0,13/10/2015,,,0,0,0,0,0,0,0,,,0,43,45,"0,06140","0,04990","0,00790","16427,00000"
