NMT; anio; mes; dia; tipo; LAEQ; LAS01; LAS10; LAS50; LAS90; LAS99
26;2021;1;1; N; 057.0; 068.5; 059.9; 049.0; 037.3; 033.3
27;2021;1;1; N; 075.4; 066.6; 055.7; 042.2; 035.7; 033.4
28;2021;1;1; N; 062.9; 074.3; 066.4; 045.9; 037.6; 036.1
29;2021;1;1; N; 051.8; 064.8; 053.7; 036.9; 032.6; 031.4
30;2021;1;1; N; 057.7; 070.1; 059.4; 043.2; 037.7; 036.2
31;2021;1;1; N; 063.1; 075.8; 061.4; 044.9; 039.4; 037.3
47;2021;1;1; N; 059.4; 071.1; 057.6; 039.6; 035.8; 035.1
48;2021;1;1; N; 057.9; 067.3; 061.6; 051.9; 042.4; 038.0
54;2021;1;1; N; 068.1; 078.2; 065.4; 045.7; 035.5; 033.1
55;2021;1;1; N; 058.6; 066.4; 054.7; 041.8; 037.0; 036.1
86;2021;1;1; N; 062.4; 070.6; 059.2; 039.5; 036.1; 035.1
1;2021;1;2; T; 064.1; 070.6; 067.9; 060.5; 046.1; 039.0
2;2021;1;2; T; 067.5; 074.0; 069.4; 065.6; 056.1; 049.8
3;2021;1;2; T; 057.2; 066.9; 059.8; 052.2; 039.1; 037.0
5;2021;1;2; T; 060.0; 067.0; 062.8; 056.9; 038.7; 036.6
6;2021;1;2; T; 066.9; 073.7; 070.0; 063.3; 048.3; 039.0
8;2021;1;2; T; 063.1; 070.6; 066.6; 061.3; 047.0; 039.9
10;2021;1;2; T; 061.7; 071.7; 065.8; 056.5; 046.4; 045.1
11;2021;1;2; T; 065.7; 072.3; 068.9; 062.0; 040.8; 037.1
12;2021;1;2; T; 060.1; 067.1; 062.6; 057.5; 047.1; 044.3
13;2021;1;2; T; 054.4; 063.4; 057.9; 050.5; 036.7; 035.0
14;2021;1;2; T; 062.6; 068.9; 064.8; 061.2; 050.0; 040.5
16;2021;1;2; T; 059.7; 067.1; 063.8; 056.0; 036.1; 034.2
17;2021;1;2; T; 054.8; 062.8; 057.1; 050.1; 038.9; 034.6
18;2021;1;2; T; 053.6; 063.4; 056.8; 048.4; 042.6; 042.1
19;2021;1;2; T; 058.0; 066.3; 060.4; 052.8; 038.1; 031.2
20;2021;1;2; T; 058.3; 066.8; 061.2; 055.1; 038.4; 037.1
24;2021;1;2; T; 047.4; 056.3; 051.5; 041.8; 037.8; 037.0
25;2021;1;2; T; 065.8; 069.9; 068.5; 066.0; 053.4; 039.6
26;2021;1;2; T; 058.4; 068.0; 062.7; 054.1; 044.4; 035.2
27;2021;1;2; T; 055.1; 065.3; 058.6; 049.4; 038.2; 032.7
28;2021;1;2; T; 065.3; 074.6; 069.9; 059.6; 038.7; 036.3
29;2021;1;2; T; 055.0; 064.7; 059.5; 047.7; 032.9; 031.3
30;2021;1;2; T; 056.2; 064.3; 060.4; 052.6; 038.7; 036.4
31;2021;1;2; T; 063.1; 073.4; 068.4; 054.7; 040.7; 038.3
47;2021;1;2; T; 052.9; 064.8; 054.0; 044.7; 036.9; 035.4
48;2021;1;2; T; 057.7; 064.2; 060.6; 056.5; 042.5; 038.2
54;2021;1;2; T; 059.3; 066.6; 063.0; 057.3; 037.4; 034.1
55;2021;1;2; T; 052.4; 061.9; 054.7; 047.7; 038.2; 036.2
86;2021;1;2; T; 051.9; 061.8; 055.8; 045.6; 037.1; 036.1
