Id_Estacion,Nombre_Estación,URI_Estacion,Fecha,tipo,Hash_Observacion,URI_Observacion,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo Recoletos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/paseo-recoletos,1/1/2021,D,5e6fd31551f4f8e87675cb398aa8c729,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/5e6fd31551f4f8e87675cb398aa8c729,062.6,070.3,067.0,058.6,051.0,046.5
2,Carlos V,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/carlos-v,1/1/2021,D,9d734c20bfebaae1b1a0340167ae1817,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/9d734c20bfebaae1b1a0340167ae1817,065.8,071.8,068.2,063.8,058.0,053.9
3,Plaza del Carmen,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/plaza-del-carmen,1/1/2021,D,0cc316c34e585bc7853ef5216f7f5913,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/0cc316c34e585bc7853ef5216f7f5913,055.3,066.0,057.3,049.4,043.5,040.4
5,Barrio del Pilar,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/barrio-del-pilar,1/1/2021,D,1c9f742e782dbb4ca40bf40a423f3a17,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/1c9f742e782dbb4ca40bf40a423f3a17,059.5,067.0,062.1,057.1,050.7,044.0
6,Gregorio Maranon,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/gregorio-maranon,1/1/2021,D,48dbc36fb1dbc25fe58ae80681107cd8,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/48dbc36fb1dbc25fe58ae80681107cd8,065.3,072.6,068.5,062.2,054.1,048.5
8,Escuelas Aguirre,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/escuelas-aguirre,1/1/2021,D,aad442497f6f25c38991bee6347abb27,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/aad442497f6f25c38991bee6347abb27,063.2,070.6,066.5,061.7,055.1,050.4
10,Cuatro Caminos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cuatro-caminos,1/1/2021,D,74b1ba927af152e649a4a7b032ac8e5e,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/74b1ba927af152e649a4a7b032ac8e5e,060.8,070.9,064.6,056.3,049.6,047.1
11,Ramon y Cajal,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ramon-y-cajal,1/1/2021,D,79fdb0c37b6fb66f1ac14211eed54375,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/79fdb0c37b6fb66f1ac14211eed54375,064.8,071.6,068.0,061.1,051.0,043.5
12,Manuel Becerra,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/manuel-becerra,1/1/2021,D,6a866a4423847159294658a63d519ffc,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/6a866a4423847159294658a63d519ffc,059.7,066.6,061.9,057.3,051.9,046.4
13,Vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/vallecas,1/1/2021,D,1b3cefefd56fd8ceedf021917552148d,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/1b3cefefd56fd8ceedf021917552148d,056.0,064.5,057.4,050.1,041.9,039.2
